timestamp, siteid, sensorid, value
Tue Jan 07 2020 00:00:00 PST,1,1,34
Tue Jan 07 2020 00:00:00 PST,1,2,5
Tue Jan 07 2020 00:00:00 PST,1,3,148
Tue Jan 07 2020 00:00:00 PST,2,1,0
Tue Jan 07 2020 00:00:00 PST,2,2,5
Tue Jan 07 2020 00:00:00 PST,2,3,448
Tue Jan 07 2020 00:00:00 PST,3,1,62
Tue Jan 07 2020 00:00:00 PST,3,2,5
Tue Jan 07 2020 00:00:00 PST,3,3,67
Tue Jan 07 2020 00:00:00 PST,4,1,437
Tue Jan 07 2020 00:00:00 PST,4,2,5
Tue Jan 07 2020 00:00:00 PST,4,3,296
Tue Jan 07 2020 00:15:00 PST,1,1,#ERROR#
Tue Jan 07 2020 00:15:00 PST,1,2,5
Tue Jan 07 2020 00:15:00 PST,1,3,405
Tue Jan 07 2020 00:15:00 PST,2,1,43
Tue Jan 07 2020 00:15:00 PST,2,2,5
Tue Jan 07 2020 00:15:00 PST,2,3,385
Tue Jan 07 2020 00:15:00 PST,3,1,3
Tue Jan 07 2020 00:15:00 PST,3,2,5
Tue Jan 07 2020 00:15:00 PST,3,3,395
Tue Jan 07 2020 00:15:00 PST,4,1,212
Tue Jan 07 2020 00:15:00 PST,4,2,5
Tue Jan 07 2020 00:15:00 PST,4,3,29
Tue Jan 07 2020 00:30:00 PST,1,1,160
Tue Jan 07 2020 00:30:00 PST,1,2,5
Tue Jan 07 2020 00:30:00 PST,1,3,57
Tue Jan 07 2020 00:30:00 PST,2,1,31
Tue Jan 07 2020 00:30:00 PST,2,2,5
Tue Jan 07 2020 00:30:00 PST,2,3,304
Tue Jan 07 2020 00:30:00 PST,3,1,13
Tue Jan 07 2020 00:30:00 PST,3,2,5
Tue Jan 07 2020 00:30:00 PST,3,3,19
Tue Jan 07 2020 00:30:00 PST,4,1,#ERROR#
Tue Jan 07 2020 00:30:00 PST,4,2,5
Tue Jan 07 2020 00:30:00 PST,4,3,312
Tue Jan 07 2020 00:45:00 PST,1,1,448
